_1	_2	_3
review_id	'review_id' is not null	".isComplete(\"review_id\")"
customer_id	'customer_id' is not null	".isComplete(\"customer_id\")"
customer_id	'customer_id' has type Integral	".hasDataType(\"customer_id\", ConstrainableDataTypes.Integral)"
customer_id	'customer_id' has no negative values	".isNonNegative(\"customer_id\")"
review_date	'review_date' is not null	".isComplete(\"review_date\")"
helpful_votes	'helpful_votes' is not null	".isComplete(\"helpful_votes\")"
helpful_votes	'helpful_votes' has no negative values	".isNonNegative(\"helpful_votes\")"
star_rating	'star_rating' is not null	".isComplete(\"star_rating\")"
star_rating	'star_rating' has no negative values	".isNonNegative(\"star_rating\")"
product_title	'product_title' is not null	".isComplete(\"product_title\")"
review_headline	'review_headline' is not null	".isComplete(\"review_headline\")"
product_id	'product_id' is not null	".isComplete(\"product_id\")"
total_votes	'total_votes' is not null	".isComplete(\"total_votes\")"
total_votes	'total_votes' has no negative values	".isNonNegative(\"total_votes\")"
product_category	'product_category' is not null	".isComplete(\"product_category\")"
product_category	'product_category' has value range 'Digital_Video_Games', 'Digital_Software'	".isContainedIn(\"product_category\", Array(\"Digital_Video_Games\", \"Digital_Software\"))"
product_parent	'product_parent' is not null	".isComplete(\"product_parent\")"
product_parent	'product_parent' has type Integral	".hasDataType(\"product_parent\", ConstrainableDataTypes.Integral)"
product_parent	'product_parent' has no negative values	".isNonNegative(\"product_parent\")"
review_body	'review_body' has less than 1% missing values	".hasCompleteness(\"review_body\", _ >= 0.99, Some(\"It should be above 0.99!\"))"
vine	'vine' is not null	".isComplete(\"vine\")"
vine	'vine' has value range 'N'	".isContainedIn(\"vine\", Array(\"N\"))"
marketplace	'marketplace' is not null	".isComplete(\"marketplace\")"
marketplace	'marketplace' has value range 'US'	".isContainedIn(\"marketplace\", Array(\"US\"))"
verified_purchase	'verified_purchase' is not null	".isComplete(\"verified_purchase\")"
verified_purchase	'verified_purchase' has value range 'Y', 'N'	".isContainedIn(\"verified_purchase\", Array(\"Y\", \"N\"))"
